Income,Credit Score,Age,Loan Amount,Employment Years,Loan Approved
40505.46,753,51,3111.79,10.5,Yes
77750.35,714,40,23234.47,10.9,Yes
76539.16,784,24,29302.78,3.8,Yes
32123.08,683,22,23100.3,0.0,Yes
80382.33,665,54,35456.62,19.9,Yes
110159.07,850,37,23482.52,6.5,Yes
68783.13,720,31,43460.89,4.9,Yes
57578.85,636,35,24787.73,7.0,Yes
61875.93,638,23,12414.27,0.7,Yes
78535.65,619,52,15770.63,8.8,Yes
26925.22,760,34,2000.0,6.8,Yes
68616.6,663,51,26486.54,20.4,Yes
56409.79,700,38,25819.78,5.7,Yes
105652.15,685,52,35336.93,21.3,Yes
61168.2,745,40,6935.34,11.5,Yes
101693.53,626,46,29467.47,12.8,Yes
40717.7,609,45,22735.06,16.4,Yes
77919.7,707,44,18752.18,9.9,Yes
72026.81,735,41,10571.04,13.0,Yes
45880.96,715,35,19519.91,8.3,Yes
68902.71,629,57,32916.67,15.1,Yes
91675.41,741,28,12998.1,4.0,Yes
57876.58,634,38,25500.31,7.7,Yes
27776.82,651,38,24987.31,2.0,Yes
64613.62,619,42,15707.75,12.9,Yes
45146.69,788,33,22669.03,10.2,Yes
57468.5,738,41,17917.0,14.2,Yes
63205.07,735,36,16837.63,7.9,Yes
27475.65,784,22,8962.19,2.1,Yes
29455.52,850,38,14583.26,12.6,Yes
75605.47,562,26,17367.88,2.4,Yes
53500.19,635,21,28120.17,0.0,Yes
15000.0,644,39,14264.8,9.5,Yes
82266.57,626,42,53143.44,13.9,Yes
70992.13,609,43,26814.98,12.0,Yes
49294.75,668,43,28616.45,11.7,Yes
36029.74,599,21,3597.99,0.2,Yes
83387.77,715,24,21170.83,1.6,Yes
72685.71,694,57,16242.89,28.9,Yes
117417.25,726,27,73234.6,3.1,Yes
74244.15,728,44,52364.35,21.2,Yes
73529.47,735,31,26633.43,6.5,Yes
61327.59,662,38,43510.57,7.7,Yes
82969.07,849,31,37536.62,2.6,Yes
78751.87,708,43,41572.75,14.4,Yes
92537.95,550,39,21152.31,7.9,Yes
53530.9,615,33,13816.03,3.7,Yes
55421.04,559,27,19251.67,3.7,No
54459.73,691,40,10325.83,6.6,Yes
82397.64,681,25,33444.78,2.3,Yes
97964.24,655,42,25531.56,13.7,Yes
54905.51,841,64,23861.27,23.8,Yes
55654.98,731,51,36279.43,23.3,Yes
71909.7,744,45,2000.0,13.2,Yes
59593.25,620,37,20120.72,11.4,Yes
85945.18,615,21,50193.81,0.0,Yes
15460.9,693,24,18030.57,2.3,Yes
46812.49,703,50,24202.97,12.3,No
47786.84,551,30,34623.91,4.2,Yes
15000.0,676,31,5706.0,5.6,No
43799.95,691,36,22770.47,13.0,Yes
44866.57,674,27,20616.82,0.0,No
60575.7,629,25,25474.24,5.9,Yes
89485.25,650,37,10530.27,16.2,Yes
59608.67,677,29,3693.78,0.0,Yes
42322.1,697,30,2000.0,3.6,Yes
63747.0,735,30,39535.31,1.4,Yes
88081.82,771,43,47978.43,8.6,Yes
43528.91,668,35,19214.89,6.0,No
44967.35,656,36,5171.11,8.0,Yes
77288.08,723,43,32808.63,9.8,Yes
60126.21,736,36,36435.13,7.2,Yes
79244.66,657,35,26127.93,6.0,Yes
64699.77,749,42,2000.0,11.5,Yes
80436.6,763,44,51864.93,3.3,Yes
42228.28,787,36,2000.0,7.9,Yes
64734.14,823,38,17486.09,13.4,Yes
60364.82,625,30,46285.88,2.4,No
38250.4,691,29,26441.59,2.1,No
30603.49,691,45,15053.06,14.1,Yes
80086.48,683,42,36564.25,17.5,Yes
57279.05,641,42,51871.23,10.2,Yes
42509.83,579,40,2000.0,7.9,Yes
62884.06,697,38,26679.41,1.9,Yes
89816.41,632,44,31979.32,10.6,Yes
15000.0,696,47,2000.0,19.9,Yes
32073.95,630,47,20262.97,12.7,Yes
44696.5,608,36,16821.87,2.5,No
97145.94,708,51,22315.46,23.3,Yes
71216.91,701,40,20202.41,10.5,Yes
81880.98,733,44,30629.52,12.9,Yes
39916.46,850,40,11457.78,11.1,Yes
40370.21,711,40,21026.95,8.2,Yes
74851.9,726,30,32836.81,7.5,Yes
66282.04,609,45,28596.44,12.9,Yes
77072.25,593,65,30122.02,30.1,Yes
60871.24,809,34,30612.33,8.5,Yes
71119.16,621,38,18836.62,4.4,Yes
68478.62,612,33,2000.0,4.7,Yes
82110.88,687,33,22141.79,2.1,Yes
82754.18,683,53,39948.79,23.9,Yes
29362.82,622,31,19091.48,8.4,Yes
15560.09,667,33,4701.47,3.2,No
87038.4,782,22,38186.29,4.6,Yes
91129.95,630,30,35538.46,2.8,Yes
42546.29,585,21,5716.14,4.0,Yes
24083.62,761,44,21581.66,12.4,Yes
67178.77,727,65,20747.48,16.4,Yes
85478.44,643,34,27901.34,9.1,Yes
104547.08,571,21,47934.06,0.0,Yes
76358.55,634,46,20550.09,18.1,Yes
56822.23,686,30,15507.73,9.5,Yes
45351.13,777,50,3700.9,26.0,Yes
65251.93,612,35,34116.06,10.3,Yes
58416.18,684,31,18213.8,6.5,Yes
42668.51,741,36,19009.15,5.5,Yes
110072.62,511,45,49321.31,8.8,Yes
104273.7,768,35,25626.96,7.5,Yes
89993.07,601,33,44548.93,6.5,Yes
44741.29,715,36,28249.02,5.1,Yes
83810.43,709,25,66850.02,0.0,Yes
79071.78,771,41,36106.9,15.7,Yes
74736.0,731,21,18932.3,3.8,Yes
92492.64,512,33,39230.0,12.7,Yes
78978.17,631,45,50498.04,10.7,Yes
81280.31,700,41,35830.61,10.9,Yes
79011.94,675,43,49239.84,17.6,Yes
72497.41,726,37,21858.19,1.2,Yes
25760.56,749,49,22224.53,12.2,Yes
66839.66,736,47,22210.5,21.5,Yes
52763.78,674,42,8321.22,10.2,Yes
36843.5,552,47,23398.8,11.5,Yes
101999.97,656,45,60506.44,17.7,Yes
103037.9,721,33,57589.07,7.7,Yes
94902.85,608,24,24944.26,0.4,Yes
70614.7,737,42,6031.26,10.9,Yes
94713.75,758,43,21420.9,9.8,Yes
65265.17,700,48,20770.4,21.9,Yes
69461.54,460,28,36936.84,7.1,No
40943.63,594,28,14030.31,7.2,Yes
73733.81,831,42,19235.13,13.6,Yes
66328.49,649,37,30701.37,3.3,Yes
36341.65,541,21,24857.59,0.0,No
63873.66,783,41,2000.0,18.0,Yes
63245.95,691,21,36122.63,0.0,Yes
104546.35,773,28,45951.36,6.3,Yes
84672.69,711,51,10897.83,17.0,Yes
65251.8,724,56,19370.64,29.1,Yes
70473.32,717,25,31725.24,1.6,Yes
65972.67,742,34,11958.45,7.9,Yes
60535.89,850,38,35919.69,14.2,Yes
41186.6,763,55,16145.36,17.0,Yes
61676.86,571,33,5780.56,7.9,Yes
48585.84,723,33,23186.78,5.6,Yes
37493.06,776,53,31216.09,12.0,Yes
76246.88,780,34,5344.81,7.3,Yes
73607.82,658,45,54519.19,15.7,No
25692.43,777,23,2000.0,1.8,Yes
62300.94,760,36,17786.27,8.8,Yes
86905.43,850,21,17893.5,0.0,Yes
88302.92,634,27,47538.33,7.2,Yes
87568.41,652,46,10365.31,12.3,Yes
65856.09,667,37,9703.59,11.5,Yes
46409.0,653,34,43324.66,8.0,Yes
41158.63,623,30,3157.72,3.4,No
72581.31,483,35,32355.4,8.3,No
73344.16,657,41,49713.45,6.8,Yes
93321.28,718,47,29785.95,17.7,Yes
89199.55,653,21,26264.04,4.7,Yes
62090.97,835,29,26873.14,5.6,Yes
37627.47,691,39,9800.08,12.5,Yes
57979.65,787,37,2000.0,2.3,Yes
69779.09,710,42,47479.83,15.7,Yes
60554.17,752,40,20129.97,15.3,Yes
52286.33,711,34,16305.78,3.6,Yes
70563.47,793,32,27119.23,8.4,Yes
53912.93,694,35,33817.7,1.8,Yes
51182.55,727,49,20159.0,15.6,Yes
71851.96,717,30,43482.31,2.4,Yes
56156.16,668,37,35266.17,8.5,Yes
70370.3,720,39,35667.4,9.9,Yes
71010.49,850,53,15853.9,12.0,Yes
39932.56,670,34,25856.89,13.4,Yes
54412.7,721,47,13245.9,16.5,No
96631.09,784,50,49730.16,20.9,Yes
39434.25,776,37,27739.66,15.7,Yes
18433.6,691,35,10278.29,10.4,Yes
24039.41,511,34,20393.57,5.2,No
65640.42,729,35,2000.0,2.1,Yes
65680.18,524,46,7127.41,11.3,Yes
62412.56,800,40,24785.53,8.6,Yes
91712.18,703,40,28603.25,8.1,Yes
15000.0,765,26,2000.0,5.3,No
73710.55,622,28,22391.95,1.2,Yes
99351.64,574,59,4998.94,29.3,Yes
40188.82,710,36,23765.61,3.8,No
56644.26,687,30,2000.0,7.5,Yes
48436.38,653,52,18907.43,15.4,Yes
45324.39,696,40,32891.71,5.4,Yes
57822.24,850,43,18426.89,17.2,Yes
96404.68,753,36,51538.83,7.2,Yes
105422.51,769,34,53327.97,12.8,Yes
57609.34,753,36,34896.02,11.2,Yes
106911.32,801,24,6906.07,3.9,Yes
65782.68,676,37,38110.25,11.6,Yes
103581.2,536,40,34539.39,10.3,Yes
62947.43,676,56,2000.0,21.7,Yes
67883.27,751,38,37529.13,7.7,Yes
73040.44,617,21,21245.99,2.7,Yes
134934.78,677,37,75859.96,7.6,Yes
83728.28,638,65,29170.6,32.7,Yes
49440.18,803,46,33518.76,7.9,Yes
86317.95,746,29,18252.49,7.3,Yes
57039.68,739,43,33741.24,11.3,Yes
54225.5,737,30,22573.86,3.3,Yes
84989.23,687,24,18470.53,0.0,Yes
65683.88,705,34,13066.69,5.4,Yes
71128.67,601,38,38621.33,5.0,Yes
65307.67,526,21,18801.12,0.0,Yes
72404.83,701,26,14900.41,1.4,Yes
74349.25,714,38,18933.34,5.7,Yes
22386.73,781,33,5079.9,6.8,Yes
79664.6,808,41,29748.36,5.3,Yes
43395.57,808,25,14850.51,0.4,No
33269.42,615,45,19264.48,23.3,Yes
63714.95,664,26,38607.45,4.3,Yes
66847.58,726,54,7299.33,19.2,Yes
49742.86,850,21,18509.47,2.9,Yes
83282.7,801,27,19278.62,0.0,Yes
35472.15,774,42,23697.48,0.0,Yes
56047.24,661,54,2299.82,26.0,Yes
52132.77,624,41,23111.44,4.0,Yes
63975.08,749,43,24443.77,13.9,Yes
71135.01,607,38,11027.13,6.1,Yes
42826.36,672,27,23614.72,4.6,Yes
80934.22,681,33,15636.37,3.4,Yes
66386.05,809,25,14477.84,3.4,Yes
23377.18,663,25,2000.0,3.4,Yes
21910.99,507,42,2000.0,6.4,Yes
64728.98,728,26,7116.13,0.0,Yes
60138.72,638,41,12089.22,12.7,Yes
62724.76,693,24,37119.33,1.2,Yes
64384.39,683,40,36619.45,19.3,Yes
69962.32,669,33,36551.21,7.6,Yes
85848.29,749,52,41062.93,26.0,Yes
40555.69,575,41,7832.7,6.6,Yes
39216.62,651,50,8207.44,13.6,Yes
40946.88,741,30,2140.25,7.9,Yes
71356.17,644,38,4735.63,6.7,Yes
92388.84,569,28,45668.8,0.0,Yes
55510.53,740,33,27069.64,0.0,Yes
15000.0,774,35,2518.39,9.4,Yes
27512.16,687,30,29290.19,10.0,Yes
46673.19,543,25,16093.19,6.3,Yes
52729.96,743,23,8166.32,1.6,Yes
56015.45,566,21,2243.95,0.0,Yes
65848.78,713,27,10572.16,0.5,Yes
58141.58,623,44,4408.54,9.3,Yes
88085.47,603,22,30611.24,0.0,Yes
50127.62,657,24,25857.95,5.8,Yes
46029.0,676,55,11546.91,16.4,Yes
75535.26,642,31,23906.23,7.5,Yes
31215.87,734,41,3714.31,15.5,Yes
73573.22,657,44,23073.44,7.5,Yes
67256.17,764,44,29020.58,11.9,Yes
61756.27,711,22,27614.24,0.7,Yes
99942.07,638,35,45658.73,9.4,Yes
51311.44,625,21,20281.12,1.2,No
110326.56,566,62,53542.92,11.3,Yes
60040.51,712,22,13905.68,0.9,Yes
36905.64,663,27,22772.61,0.0,Yes
66538.23,512,27,7067.55,5.4,Yes
41322.61,650,23,24377.26,0.4,Yes
48461.37,622,51,33491.09,28.1,Yes
73734.73,808,62,17961.46,14.1,Yes
77222.81,562,33,33498.16,4.0,Yes
51312.31,582,24,13528.91,0.0,Yes
86722.91,773,21,23346.36,1.9,Yes
90465.17,792,35,45983.85,5.0,Yes
96598.64,634,34,18533.18,4.0,Yes
76647.09,643,31,28992.5,5.1,Yes
94995.43,736,40,32156.55,12.7,Yes
23622.43,515,41,10247.29,4.1,Yes
58006.06,550,41,6403.28,15.4,Yes
45925.88,669,34,24467.77,7.6,Yes
67622.97,806,26,27749.87,0.9,Yes
52428.12,657,44,23807.61,18.4,Yes
61344.53,698,38,36358.04,12.9,Yes
106407.85,775,46,38646.05,11.1,Yes
61266.16,848,45,19769.77,15.5,Yes
74103.43,647,23,46828.71,1.0,No
59890.07,689,23,27364.1,3.4,Yes
66665.69,827,30,9661.27,4.2,Yes
65132.37,576,27,2000.0,3.3,Yes
74863.13,767,45,41541.64,6.8,Yes
90636.77,614,41,20986.93,14.6,Yes
101242.67,698,48,30906.22,12.5,Yes
71811.64,672,41,14779.43,2.9,Yes
77970.03,618,40,31205.9,15.9,Yes
39680.98,616,49,10235.7,13.2,No
63066.71,711,42,29347.73,10.2,Yes
85686.37,765,38,31772.37,6.7,Yes
84051.31,680,52,2000.0,15.3,Yes
69655.41,695,39,14660.52,11.0,Yes
84500.67,733,34,13344.67,9.0,Yes
75796.87,617,29,25106.68,6.1,Yes
91406.74,745,45,46048.73,13.6,Yes
71365.9,751,50,26517.25,17.1,Yes
57174.64,850,37,32655.31,4.2,Yes
72388.51,662,51,19441.27,8.8,Yes
15000.0,656,21,2000.0,0.1,Yes
73423.49,748,37,39834.53,11.5,Yes
15000.0,751,37,2000.0,11.9,Yes
27083.81,650,30,7112.9,5.5,Yes
74938.91,660,61,35828.2,19.0,No
75505.65,731,37,15572.52,12.5,Yes
39426.57,628,33,8889.06,3.8,No
49333.76,659,38,7223.69,3.7,Yes
95151.9,697,21,27337.64,0.0,Yes
54351.34,765,30,27294.95,3.2,Yes
114344.25,645,47,50681.62,7.2,Yes
64957.76,552,31,25720.7,0.3,Yes
73976.8,546,29,32464.69,10.0,Yes
100571.24,596,51,47032.97,8.4,Yes
67882.6,592,51,16296.74,18.9,Yes
42948.43,678,43,20720.73,10.2,No
62586.0,601,33,7758.82,4.3,Yes
64216.56,637,35,19589.94,8.4,Yes
34975.68,632,29,16990.78,0.0,Yes
59371.69,657,28,17723.37,1.3,Yes
48671.77,789,27,11416.67,1.4,Yes
85335.87,740,31,35427.32,8.2,Yes
65761.46,691,27,14331.79,0.0,Yes
58778.49,655,22,25941.02,2.4,No
62664.0,658,40,22740.1,16.2,Yes
69908.68,715,40,22897.61,12.9,Yes
78569.91,734,55,42773.94,29.5,Yes
43006.33,622,31,14468.39,5.9,Yes
42085.07,693,40,3430.56,10.9,Yes
89302.94,538,41,41828.66,8.2,Yes
55928.59,706,35,19468.15,5.7,Yes
33829.47,747,45,8322.49,16.1,Yes
74763.88,669,45,12007.11,14.2,Yes
75194.14,826,41,28540.88,11.3,Yes
31324.26,624,35,12039.76,6.9,No
70048.6,706,34,33431.4,6.4,Yes
81182.83,687,24,44269.75,2.0,Yes
73236.5,682,29,42038.05,7.9,Yes
78903.59,681,31,25591.51,9.9,Yes
34106.08,698,26,7001.82,5.5,Yes
72282.88,754,42,16969.58,16.1,Yes
58342.37,793,49,27375.74,9.1,Yes
54378.62,690,28,19386.99,8.4,Yes
84152.22,751,40,23112.63,16.6,Yes
97544.04,637,27,47085.18,7.2,Yes
104476.14,747,34,13266.29,8.2,Yes
93925.77,633,31,25126.21,5.4,Yes
62585.85,772,44,24936.77,12.2,Yes
72759.84,850,31,15893.95,4.8,Yes
81870.1,681,48,20292.53,9.4,Yes
67665.91,526,35,22277.79,9.2,Yes
67876.81,649,31,22386.85,7.5,Yes
83122.57,782,25,38744.16,0.0,Yes
63695.78,731,40,14852.3,15.4,Yes
48955.69,709,46,22983.23,6.6,Yes
55881.59,766,40,22411.93,12.7,Yes
78946.03,726,60,10046.05,23.4,Yes
65065.85,781,52,41991.24,21.7,Yes
72484.62,759,34,36311.49,7.2,Yes
79741.74,804,34,3555.54,5.7,Yes
56753.49,717,42,7998.7,14.9,Yes
81637.46,758,29,20212.74,7.8,Yes
73334.54,667,49,14603.1,18.1,Yes
37834.11,645,41,2000.0,11.3,Yes
96730.71,818,40,34717.35,6.8,Yes
53983.62,706,44,26861.44,16.6,Yes
28587.9,750,55,3560.23,24.5,Yes
42009.04,699,39,9335.49,0.6,Yes
42537.01,646,36,33705.41,9.1,Yes
66147.81,691,53,43629.29,15.3,Yes
58975.29,798,47,17399.6,21.4,Yes
57589.7,732,34,2879.4,4.1,Yes
78633.44,562,38,40548.61,8.4,Yes
72477.26,674,39,37751.69,9.7,Yes
71953.05,824,41,48943.69,12.7,Yes
74016.23,674,24,34216.51,0.0,Yes
78554.96,555,22,2000.0,0.0,No
18625.03,832,29,5418.16,4.5,Yes
56982.36,741,28,31589.68,0.7,Yes
17035.38,685,31,8764.1,5.4,No
65793.32,662,44,20515.92,9.9,No
64898.07,771,36,29797.68,1.4,Yes
88001.71,649,39,41474.04,4.4,No
91127.96,776,25,44523.31,3.4,Yes
69461.05,731,33,32164.08,4.2,Yes
53992.06,708,43,21737.81,15.0,Yes
75673.54,701,43,22309.54,7.9,Yes
53385.81,677,30,32070.32,8.0,Yes
64969.36,768,39,40695.18,8.0,Yes
86695.0,625,59,45074.82,25.1,Yes
52729.03,568,37,2000.0,11.7,Yes
82724.93,736,31,13801.36,5.9,Yes
79902.83,737,36,33481.94,5.7,Yes
43994.58,726,38,9659.18,4.3,Yes
86425.67,721,36,6326.93,7.2,Yes
80368.46,666,37,41312.44,4.3,Yes
67242.37,749,23,16086.42,0.0,Yes
48228.88,687,28,3103.24,4.3,Yes
46097.47,653,36,15566.12,7.7,Yes
53171.42,667,36,2000.0,3.8,Yes
76937.08,842,32,38506.52,5.8,Yes
43976.25,560,36,23250.27,6.6,Yes
74625.27,727,38,21632.53,3.6,Yes
37681.38,564,46,17364.86,7.8,No
60510.49,682,37,14485.48,11.8,Yes
67412.25,657,41,17534.1,13.6,Yes
118792.86,534,32,40995.08,4.0,Yes
34699.06,719,43,16716.43,13.7,Yes
97384.32,661,41,6805.15,13.7,Yes
68296.53,533,46,15233.66,7.7,No
74045.78,753,45,31443.06,11.6,Yes
67603.65,798,43,16725.53,7.5,Yes
74783.99,802,37,26552.19,6.3,Yes
61618.93,717,40,8038.36,15.7,Yes
96989.1,693,48,13971.46,9.4,Yes
54957.63,790,31,24830.47,9.8,Yes
89909.16,816,31,40347.21,6.5,No
50823.92,775,39,10711.12,17.2,Yes
63674.46,619,42,38886.98,16.2,No
41416.82,705,29,7419.51,6.7,Yes
75010.52,723,37,6860.86,6.8,Yes
96792.77,554,37,19491.08,10.5,Yes
63298.16,725,21,14046.3,0.0,Yes
60668.51,850,35,20653.18,15.3,No
40478.43,738,36,2573.83,5.4,Yes
59955.56,801,36,2000.0,7.9,Yes
29958.53,704,52,21294.64,20.6,Yes
44916.68,685,25,22944.73,0.0,Yes
69989.29,719,29,31308.24,7.6,Yes
94018.29,629,21,48363.64,0.0,Yes
126802.64,618,33,52022.29,7.0,Yes
52095.13,785,34,22879.82,4.6,Yes
96576.6,793,32,51838.77,5.8,Yes
70362.55,616,49,22093.44,10.1,Yes
61672.55,763,46,18359.35,1.9,Yes
74517.08,683,38,12606.77,11.3,Yes
66362.16,715,34,13494.56,8.2,Yes
67428.71,725,48,23323.96,21.6,Yes
56016.67,765,37,20239.76,10.7,Yes
34241.59,696,29,11936.05,4.3,Yes
31040.25,796,21,10728.74,0.7,No
79371.39,713,33,29952.82,11.7,Yes
58912.6,737,45,17954.19,18.1,Yes
51886.04,628,60,12236.85,21.0,Yes
65187.12,850,38,19651.76,6.8,Yes
82488.51,725,30,29511.74,12.0,Yes
68968.01,743,26,12686.32,6.1,Yes
50566.79,569,43,24653.64,1.7,Yes
91978.45,628,21,23346.14,6.5,Yes
99742.08,783,43,51061.96,5.3,Yes
75880.25,712,46,46471.24,10.9,Yes
86420.6,546,42,21041.86,14.9,Yes
92323.12,768,35,28881.01,10.7,Yes
89862.18,649,43,39327.2,9.3,Yes
78510.18,796,39,33138.88,15.8,Yes
78163.64,683,30,22046.86,6.1,Yes
76432.53,705,56,36435.12,13.9,Yes
40858.57,778,34,23042.01,9.2,Yes
80415.91,623,45,52423.3,19.5,Yes
35172.09,616,21,22251.67,0.0,Yes
47518.81,675,50,25963.97,24.1,Yes
93678.43,752,52,19093.66,21.5,Yes
83484.84,590,38,7777.21,5.9,Yes
97722.76,565,43,27942.54,10.5,Yes
59023.16,752,43,3494.98,15.5,Yes
39650.53,645,31,2391.9,8.6,Yes
59710.38,661,43,28394.89,9.8,Yes
67244.69,551,29,10530.2,0.0,Yes
66737.75,639,31,15127.53,8.6,Yes
89940.97,689,49,30078.23,7.2,Yes
57052.05,760,47,17673.98,5.3,Yes
72744.76,632,30,31475.09,7.9,Yes
43250.2,814,30,21914.77,9.6,Yes
74906.98,639,31,37745.49,10.4,Yes
65068.39,639,45,15476.56,15.0,Yes
48504.11,805,28,2000.0,5.3,Yes
59811.75,706,41,13270.39,18.0,Yes
60948.13,649,45,38396.18,10.1,Yes
59056.59,678,37,19937.12,4.9,Yes
103969.51,791,48,32342.51,19.5,Yes
62834.19,800,34,31281.52,10.7,Yes
59634.29,629,35,5115.91,10.9,Yes
18856.08,687,28,11833.32,0.0,Yes
45327.44,697,48,16754.39,18.0,Yes
59212.38,616,30,23826.0,7.6,Yes
49911.24,686,41,12900.67,11.6,Yes
95397.57,690,37,57598.89,13.6,Yes
61371.37,776,27,17984.75,6.0,Yes
93345.77,781,31,55227.77,3.5,Yes
66357.5,665,51,18866.82,18.9,Yes
65819.01,674,40,16846.03,13.3,Yes
63046.48,740,27,5580.87,5.7,Yes
65083.52,646,41,6968.17,16.3,Yes
102813.49,734,36,58711.62,1.0,Yes
15000.0,683,65,16383.77,17.3,Yes
20965.99,617,40,13898.95,18.2,Yes
53050.24,618,34,29992.14,10.3,Yes
65319.61,799,52,22235.0,25.4,Yes
80182.3,678,21,20599.07,1.0,Yes
75407.92,813,38,50330.08,9.0,Yes
56546.59,651,57,23022.82,26.9,Yes
87418.96,712,36,30840.44,11.9,Yes
87664.3,850,21,16544.66,0.0,Yes
69049.27,611,34,39223.2,10.5,Yes
86178.47,548,52,15392.17,13.3,Yes
70998.2,786,41,8399.07,11.4,Yes
52647.37,628,29,3413.46,0.0,Yes
80351.97,688,31,10225.31,2.5,Yes
67433.49,646,32,11175.18,3.8,Yes
65029.48,710,41,16095.12,13.1,Yes
97404.98,619,51,44221.49,20.0,Yes
15000.0,677,48,11975.2,18.3,Yes
33810.95,724,42,5071.44,12.7,Yes
38884.45,614,24,27882.08,1.9,No
57008.27,637,24,28870.1,0.0,Yes
59398.62,664,43,56592.66,14.5,Yes
31838.84,583,24,11882.62,1.2,Yes
43326.52,658,35,18607.4,11.1,Yes
46061.48,699,41,10282.03,13.6,Yes
119063.33,660,26,67612.34,1.9,Yes
104638.32,670,27,46457.34,0.4,Yes
55941.51,689,37,17480.55,7.7,Yes
57001.17,641,43,15221.74,8.5,Yes
39717.51,742,48,21167.49,7.7,No
23021.13,798,44,2000.0,15.0,Yes
62428.64,655,38,31298.81,8.8,Yes
43047.26,726,30,17940.39,5.3,Yes
63133.29,672,27,38131.55,8.1,Yes
29795.47,717,32,4105.37,7.4,Yes
48236.56,807,42,21668.64,16.4,Yes
68269.8,728,41,31230.85,18.8,Yes
73056.61,557,21,32521.25,1.1,Yes
74184.38,724,30,28868.16,0.1,Yes
35949.24,782,50,27418.23,22.2,Yes
83803.09,673,38,13337.35,10.9,Yes
47395.34,765,23,45301.95,3.8,Yes
78922.87,638,61,15230.34,29.0,Yes
64765.95,579,37,16964.81,7.3,Yes
34719.48,701,41,2735.86,18.9,Yes
58043.65,558,41,16375.51,14.7,Yes
73038.0,672,34,28841.67,6.7,Yes
78485.24,787,30,2000.0,4.0,Yes
61898.27,547,59,15956.49,26.0,Yes
98699.14,594,48,41752.46,18.4,Yes
87165.24,613,46,23211.2,17.1,Yes
59353.61,685,43,36771.23,17.8,Yes
81502.68,663,27,27829.23,8.4,Yes
107543.46,795,50,24236.15,16.3,Yes
108130.66,762,29,19961.12,4.5,Yes
37984.0,727,40,21837.68,12.3,Yes
44616.27,701,21,12876.38,0.3,Yes
97668.21,719,21,24945.75,0.0,Yes
41717.82,625,41,24706.14,10.9,Yes
35904.1,754,29,6456.56,6.0,Yes
54303.73,607,21,26776.8,0.0,Yes
74244.99,753,43,44667.33,17.3,Yes
62747.27,779,59,21289.83,11.0,No
50687.6,706,51,17232.94,23.0,Yes
50167.33,677,35,15937.08,9.5,Yes
49328.58,720,38,21626.34,5.4,Yes
45650.79,475,46,13930.3,13.0,No
115195.92,713,49,24872.73,23.5,Yes
71545.24,681,34,34108.74,7.0,Yes
84508.7,686,38,47379.32,12.1,Yes
54240.3,743,41,34046.78,7.7,No
60908.95,684,43,14815.08,6.9,Yes
49301.81,604,36,14580.61,10.8,Yes
15000.0,679,36,2000.0,10.9,Yes
34683.8,695,51,26527.36,21.1,Yes
25166.39,699,50,16301.27,21.7,Yes
15504.76,702,42,8502.14,15.9,Yes
38702.1,768,55,15149.92,12.2,Yes
94149.02,609,34,23653.63,5.6,Yes
64022.4,703,54,30339.44,12.2,Yes
93392.4,787,43,31561.02,13.5,Yes
74041.62,560,65,31010.53,18.2,Yes
82216.29,703,26,38706.08,3.3,Yes
45180.27,646,31,17159.02,8.8,No
76526.92,662,42,4037.38,12.2,Yes
81031.71,622,41,39402.26,10.4,Yes
52313.76,677,57,2000.0,13.9,Yes
77309.89,828,31,27189.76,5.0,Yes
77456.13,595,47,34296.37,13.7,Yes
52909.84,602,49,20111.51,5.9,Yes
40299.09,592,45,6456.68,21.1,Yes
38949.18,820,28,14163.71,1.5,Yes
66903.12,655,52,28462.02,14.8,Yes
72194.22,688,50,40606.31,13.8,Yes
47564.43,660,43,19712.85,9.0,Yes
65584.88,619,40,5070.74,8.1,Yes
77551.81,672,40,21722.0,5.3,Yes
78600.2,850,37,23854.77,11.5,Yes
99141.36,794,44,2000.0,14.2,Yes
93093.58,626,38,36269.91,15.2,Yes
42971.59,739,29,17430.47,7.9,Yes
102038.9,628,27,17361.2,2.5,Yes
53318.52,557,30,14818.19,1.5,Yes
87987.2,766,40,36393.67,11.7,Yes
66495.71,777,37,31162.48,16.8,Yes
55932.71,768,40,21842.91,16.5,Yes
25230.67,655,43,10451.88,4.1,Yes
61225.58,677,31,2000.0,4.1,Yes
30693.57,746,52,3302.97,7.8,Yes
86280.58,719,35,29982.02,7.6,Yes
98369.44,660,33,17281.08,7.6,Yes
47467.96,569,42,9055.22,10.7,Yes
71643.36,699,21,15013.81,0.0,Yes
49041.39,771,30,24019.19,0.0,Yes
51173.34,600,47,46961.75,12.0,Yes
82038.88,738,21,20107.89,0.0,Yes
64152.16,715,49,40477.2,17.6,Yes
103272.26,746,53,18105.82,19.9,Yes
54390.89,755,34,21370.01,10.1,Yes
86985.4,638,40,51371.66,8.4,Yes
67143.1,569,49,17627.1,22.3,Yes
82507.12,650,33,18755.2,7.7,Yes
55162.53,757,46,9215.35,6.2,Yes
63909.71,649,31,13874.38,4.0,Yes
62459.02,638,33,34396.57,4.4,Yes
46606.74,553,30,10234.72,5.2,No
79565.79,821,41,6711.19,4.1,Yes
79305.48,752,49,33686.95,11.9,Yes
78058.2,748,36,23008.58,4.4,Yes
98813.24,763,25,20295.49,4.8,No
96885.59,733,27,65097.9,0.9,Yes
56751.22,672,41,26034.92,5.4,Yes
73207.15,678,56,21895.14,24.7,Yes
51280.78,658,41,14721.16,11.3,Yes
65513.82,850,34,2000.0,9.8,Yes
